"Option"; "Change"
"arrowcolor"; "color"
"arrowsize"; "amount"
"background"; "color"
"bordercolor"; "color"
"borderwidth"; "amount"
"compound"; "compound"
"darkcolor"; "color"
"expand"; "padding"
"fieldbackground"; "color"
"focusfill"; "color"
"foreground"; "color"
"font"; "font"
"gripcount"; "amount"
"groovewidth"; "amount"
"handlepad"; "amount"
"handlesize"; "amount"
"indicatorbackground"; "color"
"indicatormargin"; "padding"
"indicatorrelief"; "relief"
"indicatorsize"; "amount"
"insertcolor"; "color"
"insertwidth"; "amount"
"labelmargins"; "amount"
"lightcolor"; "color"
"maxphase"; "amount"
"padding"; "padding"
"period"; "amount"
"postoffset"; "padding"
"rowheight"; "amount"
"sashpad"; "amount"
"sashrelief"; "relief"
"sashthickness"; "amount"
"selectbackground"; "color"
"selectforeground"; "color"
"sliderwidth"; "amount"
"tabmargin"; "padding"
"tabposition"; "side"
"troughcolor"; "color"
"troughrelief"; "relief"
"width"; "amount"