"Widget"; "Options"
"TButton"; "anchor, background, bordercolor, compound, darkcolor, foreground, font, highlightcolor, highlightthickness, lightcolor, padding, relief, shiftrelief, width"
"TCheckbutton"; "background, compound, foreground, indicatorbackground, indicatorcolor, indicatormargin, indicatorrelief, padding"
"TCombobox"; "arrowcolor, arrowsize, background, bordercolor, darkcolor, focusfill, foreground, fieldbackground, insertcolor, insertwidth, lightcolor, padding, postoffset, selectbackground"
"TEntry"; "bordercolor, darkcolor, fieldbackground, foreground, insertcolor, insertwidth, lightcolor, padding, relief, selectbackground, selectborderwidth, selectforeground"
"TFrame"; "background, relief"
"TLabel"; "background, compound, foreground, font"
"TLabelframe"; "background, bordercolor, borderwidth, darkcolor, labelmargins, labeloutside, lightcolor, relief"
"TLabelframe.Label"; "background, font, foreground"
"TMenubutton"; "arrowsize, background, compound, foreground, font, padding, relief, width"
"TNotebook"; "background, bordercolor, darkcolor, foreground, lightcolor, padding, tabmargins, tabposition"
"TNotebookTab"; "background, bordercolor, compound, expand, font, foreground, padding"
"TPanedWindow"; "background"
"Sash"; "background, bordercolor, gripcount, handlepad, handlesize, lightcolor, sashpad, sashrelief, sashthickness"
"TProgressbar"; "background, bordercolor, darkcolor, lightcolor, maxphase, period"
"TRadiobutton"; "background, compound, foreground, indicatorbackground, indicatorcolor, indicatormargin, indicatorrelief, padding"
"TScale"; "background, borderwidth, darkcolor, groovewidth, lightcolor, sliderwidth, troughcolor, troughrelief"
"TScrollbar"; "arrowcolor, arrowsize, background, bordercolor, darkcolor, foreground, gripcount, lightcolor, troughcolor"
"TSeparator"; "background"
"TSizegrip"; "background"
"TSpinbox"; "arrowcolor, arrowsize, background, bordercolor, darkcolor, fieldbackground, foreground, insertcolor, insertwidth, lightcolor, padding, selectbackground, selectforeground"
"Treeview"; "background, fieldbackground, font, foreground, rowheight"
"Heading"; "background, font, relief"
"Item"; "foreground, indicatormargins, indicatorsize, padding"
"Cell"; "padding"